173,320,866,5,32,1
1948,263,83,5,5,1
1050,131,1038,5,14,3
873,329,2349,5,37,4
1340,110,2207,5,17,2
1644,94,2337,1,19,2
1333,243,334,5,35,4
546,350,2322,5,33,4
1862,108,54,5,19,4
1906,329,313,5,37,4
1657,261,1918,5,25,2
1602,330,1317,5,37,4
1908,192,1175,1,18,5
636,348,2243,5,18,5
1443,195,782,5,35,5
365,192,479,4,29,3
857,258,1851,1,30,5
998,195,1904,4,30,5
847,112,1815,1,18,3
1616,322,921,5,5,4
2151,118,51,5,32,5
2083,192,2201,5,14,5
2388,104,2229,5,5,5
1925,224,1076,5,29,5
160,183,1684,1,18,1
994,332,2253,5,33,3
1410,8,1301,5,19,3
124,192,2391,6,18,5
960,192,235,1,35,3
964,192,1731,1,18,5
1894,154,1726,5,21,2
858,110,1755,5,17,5
931,123,2407,6,5,4
1506,192,475,5,16,4
1563,195,1906,5,35,5
1436,33,1768,4,5,4
1767,157,961,5,3,4
1317,327,1193,5,32,2
2234,208,162,1,30,5
1220,192,2315,4,18,3
1687,343,300,5,5,4
1371,29,786,4,4,1
779,110,1257,5,17,4
1492,332,1669,5,33,4
727,110,1753,5,17,4
1848,181,1568,5,19,5
1628,18,1096,4,4,1
2002,192,519,4,18,4
2453,120,573,5,29,5
202,195,208,1,35,3
1485,195,2093,5,35,5
282,52,1610,5,14,5
2471,192,472,4,14,5
2184,223,406,1,33,2
207,254,1529,5,35,4
226,192,383,6,35,4
716,329,847,1,37,4
386,316,700,6,35,1
454,136,110,5,35,1
929,330,733,5,37,4
1078,51,189,5,32,4
1964,154,933,5,21,5
1554,106,103,5,31,3
884,346,1331,5,35,4
260,192,234,1,35,4
1686,343,299,5,5,4
1977,182,1202,5,19,5
536,206,2394,5,30,5
1131,336,2357,5,32,4
1393,242,1809,5,19,5
2230,161,1174,5,18,4
661,349,1621,1,18,5
1407,13,1689,5,35,5
475,79,2322,5,35,3
1031,101,1651,5,30,4
2465,192,527,4,5,4
373,192,453,4,35,2
1270,132,967,5,34,5
1963,121,1787,4,34,4
1566,192,522,4,16,3
1904,26,940,5,15,3
569,240,1168,1,37,3
1743,157,1728,5,21,5
1173,218,2048,5,17,4
1553,159,1299,5,19,4
2254,192,636,4,33,3
2579,119,1441,5,32,1
23,192,2274,5,35,5
1305,4,910,5,32,4
1514,155,1796,5,19,5
1087,181,1578,5,19,5
2031,31,1532,5,19,5
2236,160,747,1,18,4
291,195,1897,1,30,3
961,312,374,5,0,2
2067,249,694,5,30,5
1500,181,1565,5,19,5
204,195,229,1,35,2
1847,44,1500,5,23,3
2143,304,1187,5,37,3
2,332,2246,5,33,2
1524,192,388,5,29,4
410,153,869,5,26,4
2155,118,53,5,32,4
1508,159,296,5,19,5
213,195,224,1,35,4
1064,291,5,5,35,4
1326,159,1300,5,19,4
499,55,63,1,5,5
757,110,1272,5,17,5
1423,330,1110,5,37,3
189,192,469,4,16,3
1989,181,1583,5,19,5
2257,74,2244,5,14,2
1587,167,1614,5,19,5
2481,249,257,4,30,4
1363,256,909,5,14,2
1447,192,456,4,29,4
2391,206,1055,5,30,5
2282,249,724,5,30,5
2141,192,1233,1,18,5
888,346,1378,5,35,5
2128,254,2198,4,18,4
2246,56,2028,4,35,4
1259,59,320,4,17,4
1008,206,1876,1,30,4
2237,192,431,4,18,5
2530,206,1639,5,30,2
2206,192,569,1,18,5
1309,350,1518,4,33,4
350,192,2007,1,35,4
438,248,140,1,30,4
1387,289,1764,5,18,4
1583,114,1968,5,19,4
2090,192,1451,5,14,5
265,192,450,4,35,4
1844,259,726,1,18,5
1570,160,180,1,18,5
1493,160,1198,1,18,5
165,52,1879,5,14,4
1356,159,298,5,19,3
1618,51,49,5,32,2
1082,110,1249,5,17,5
764,258,1845,1,30,4
999,219,2267,4,34,1
156,160,885,4,35,3
2223,120,1785,5,29,4
298,195,789,5,30,2
354,160,889,4,35,3
2207,192,179,4,14,3
2424,249,292,5,30,4
1995,192,425,4,18,5
1640,149,2203,5,32,2
1471,157,959,5,33,5
1998,192,1234,1,18,5
2508,249,1199,5,30,4
1816,329,105,1,37,3
1380,289,274,5,18,4
2347,192,593,1,14,3
1505,261,1917,5,25,3
1969,195,1425,5,35,5
1608,94,1573,5,19,5
2293,192,1447,5,14,5
1165,192,381,6,35,4
615,348,2242,5,18,5
2264,321,1011,5,32,1
1355,159,1012,5,19,3
